# Data taken  from Mumpower et al PPNP 86 (2016),,,,,,,,,,,,,,,,,,
"# F-b, F-nc, F-m mean sensitivity factors for beta properties, neutron capture, and mass respectively",,,,,,,,,,,,,,,,,,
"# -lehw, -hehw, -cw, -nsm refer to low entropy hot wind, high entropy hot wind, cold wind, neutron star merger",,,,,,,,,,,,,,,,,,
# new (not in Mum16):,,,,,,,,,,,,,,,,,,
# -max means maximum of the four scenarios,,,,,,,,,,,,,,,,,,
# F-all-max means maximum F for all scenarios and all nuclear inputs,,,,,,,,,,,,,,,,,,
# Asterisks replaced with 0.01,,,,,,,,,,,,,,,,,,
# Dashes replaced with 0.001,,,,,,,,,,,,,,,,,,
# Z,N,A,F-b-lehw,F-b-hehw,F-b-cw,F-b-nsm,F-nc-lehw,F-nc-hehw,F-nc-cw,F-nc-nsm,F-m-lehw,F-m-hehw,F-m-cw,F-m-nsr,F-b-max,F-nc-max,F-m-max,F-all-max
47,77,124,0.01,0.01,0.01,0.44,0.01,0.01,0.03,0.59,0.001,0.001,0.001,0.001,0.44,0.59,0.001,0.59
47,78,125,0.01,0.01,0.01,0.25,0.01,0.01,0.03,1,0.001,0.001,0.001,0.001,0.25,1,0.001,1
47,79,126,0.01,0.01,0.08,1.75,0.01,0.01,0.18,3.02,0.05,0.01,0.15,1.28,1.75,3.02,1.28,3.02
47,80,127,0.01,0.01,0.03,0.51,0.07,0.01,0.23,3.66,0.11,0.02,0.22,1.68,0.51,3.66,1.68,3.66
47,81,128,0.21,0.02,0.09,1.32,1.09,0.12,0.38,3.81,2.22,3.51,1.23,2.89,1.32,3.81,3.51,3.81
47,82,129,5.42,7.14,1.93,4.1,0.09,0.01,2.35,1.51,1.92,0.71,1.18,2.9,7.14,2.35,2.9,7.14
47,83,130,0.05,0.09,0.27,0.38,0.84,0.01,1.2,0.96,12.54,0.04,0.68,3.03,0.38,1.2,12.54,12.54
47,84,131,8.16,0.82,1.28,1.04,0.01,0.01,4.2,1.14,5.65,0.45,1.06,3.08,8.16,4.2,5.65,8.16
47,85,132,0.27,0.01,0.33,0.28,0.15,0.01,2.01,0.57,0.15,0.01,1.86,3.13,0.33,2.01,3.13,3.13
48,69,117,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.001,0.001,0.001,0.001,0.01,0.13,0.001,0.13
48,71,119,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.001,0.001,0.001,0.001,0.01,0.47,0.001,0.47
48,72,120,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.16,0.001,0.001,0.001,0.001,0.07,0.16,0.001,0.16
48,73,121,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.97,0.001,0.001,0.001,0.001,0.11,0.97,0.001,0.97
48,74,122,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.26,0.001,0.001,0.001,0.001,0.38,0.26,0.001,0.38
48,75,123,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.52,0.001,0.001,0.001,0.001,0.09,0.52,0.001,0.52
48,76,124,0.01,0.01,0.01,0.24,0.01,0.01,0.02,0.2,0.001,0.001,0.001,0.001,0.24,0.2,0.001,0.24
48,77,125,0.01,0.01,0.01,0.19,0.01,0.01,0.04,1.51,0.001,0.001,0.001,0.001,0.19,1.51,0.001,1.51
48,78,126,0.01,0.01,0.04,0.88,0.01,0.01,0.15,1.32,0.001,0.001,0.001,0.001,0.88,1.32,0.001,1.32
48,79,127,0.01,0.01,0.04,0.61,0.09,0.03,0.27,4.5,0.001,0.001,0.001,0.001,0.61,4.5,0.001,4.5
48,80,128,0.4,0.03,0.48,3.21,0.9,0.04,0.62,2.98,0.001,0.001,0.001,0.001,3.21,2.98,0.001,3.21
48,81,129,1.15,0.05,2.11,4.39,4.57,0.33,3.68,9.4,1.42,1.1,2.08,2.8,4.39,9.4,2.8,9.4
48,82,130,3.93,34.55,5.4,5.85,0.11,0.02,5.21,2.26,0.001,0.001,0.001,0.001,34.55,5.21,0.001,34.55
48,83,131,0.01,0.27,3.15,2.67,9.47,14.75,15.62,1.95,11.1,0.85,0.66,0.81,3.15,15.62,11.1,15.62
48,84,132,9.48,54.52,1.95,1.06,0.12,0.01,18.08,1.75,16.73,101.39,2.09,1.55,54.52,18.08,101.39,101.39
48,85,133,0.02,0.09,0.61,0.23,13.01,0.21,7.83,0.58,23.38,0.66,1.18,1.44,0.61,13.01,23.38,23.38
48,86,134,39.31,12.52,4.98,0.88,0.04,0.01,18.99,1.5,52.38,3.24,5.17,1.75,39.31,18.99,52.38,52.38
48,87,135,0.03,0.01,1.02,0.16,12.26,0.01,5.16,0.24,21.12,0.8,5.08,1.6,1.02,12.26,21.12,21.12
49,72,121,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.001,0.001,0.001,0.001,0.01,0.25,0.001,0.25
49,73,122,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.001,0.001,0.001,0.001,0.01,0.44,0.001,0.44
49,74,123,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.001,0.001,0.001,0.001,0.01,0.33,0.001,0.33
49,75,124,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.001,0.001,0.001,0.001,0.01,0.22,0.001,0.22
49,76,125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.001,0.001,0.001,0.001,0.01,0.24,0.001,0.24
49,77,126,0.01,0.01,0.01,0.15,0.01,0.01,0.06,0.9,0.001,0.001,0.001,0.001,0.15,0.9,0.001,0.9
49,78,127,0.01,0.01,0.01,0.13,0.05,0.02,0.15,1.02,0.001,0.001,0.001,0.001,0.13,1.02,0.001,1.02
49,79,128,0.05,0.01,0.07,0.43,0.77,0.06,0.6,2.79,0.001,0.001,0.001,0.001,0.43,2.79,0.001,2.79
49,80,129,0.13,0.03,0.22,0.52,1.58,0.3,1.86,2.09,0.001,0.001,0.001,0.001,0.52,2.09,0.001,2.09
49,81,130,0.56,1.45,0.38,0.78,2.75,5.73,6.46,3.79,0.001,0.001,0.001,0.001,1.45,6.46,0.001,6.46
49,82,131,5.73,7.24,1.73,1.2,4.61,0.07,4.69,1.19,0.001,0.001,0.001,0.001,7.24,4.69,0.001,7.24
49,83,132,1.21,0.14,0.08,0.05,5.64,2.09,0.35,0.07,0.001,0.001,0.001,0.001,1.21,5.64,0.001,5.64
49,84,133,3.05,7.49,2.24,1.35,1.09,0.02,6.93,1.35,9.44,74.59,4.2,6.07,7.49,6.93,74.59,74.59
49,85,134,0.05,0.66,2.57,1.91,2.28,0.48,8.67,3.95,9.35,72.84,4.12,5.92,2.57,8.67,72.84,72.84
49,86,135,13.97,34.54,2.76,2.03,0.09,0.01,19.4,2.19,10.52,73.82,2.32,1.45,34.54,19.4,73.82,73.82
49,87,136,0.08,0.2,0.9,0.72,5.37,0.01,5.52,0.97,10.7,71.04,2.42,1.48,0.9,5.52,71.04,71.04
49,88,137,22.05,3.76,6.28,1.65,0.03,0.01,22.59,6.46,12.01,68.08,2.07,1.09,22.05,22.59,68.08,68.08
49,89,138,0.01,0.01,0.12,0.02,3.17,0.01,2.26,0.06,7.86,66.43,1.95,0.91,0.12,3.17,66.43,66.43
49,90,139,12.18,0.01,4.23,1.38,0.01,0.01,10.62,3.7,5.27,0.17,5.16,0.91,12.18,10.62,5.27,12.18
49,91,140,0.03,0.01,0.37,0.05,0.01,0.01,3.27,0.09,0.26,0.01,6.17,1.02,0.37,3.27,6.17,6.17
49,92,141,0.19,0.01,0.48,0.07,0.01,0.01,3.87,0.15,2.91,0.01,6.53,1,0.48,3.87,6.53,6.53
49,93,142,0.01,0.01,0.11,0.02,0.01,0.01,1.23,0.03,0.66,0.01,5.4,0.89,0.11,1.23,5.4,5.4
49,94,143,0.74,0.01,2.37,0.47,0.01,0.01,7.18,0.98,0.98,0.01,6.39,1.95,2.37,7.18,6.39,7.18
49,95,144,0.01,0.01,0.03,0.01,0.01,0.01,0.43,0.02,0.08,0.01,5.7,1.44,0.03,0.43,5.7,5.7
49,96,145,0.1,0.01,1.35,0.42,0.01,0.01,3.88,0.87,0.05,0.01,1.26,0.55,1.35,3.88,1.26,3.88
49,97,146,0.01,0.01,0.05,0.01,0.01,0.01,0.17,0.02,0.02,0.01,1.07,0.53,0.05,0.17,1.07,1.07
49,98,147,0.01,0.01,0.94,0.27,0.01,0.01,0.61,0.2,0.03,0.01,2.04,1.63,0.94,0.61,2.04,2.04
49,100,149,0.01,0.01,14.56,0.62,0.01,0.01,0.01,0.16,0.02,0.01,0.81,0.67,14.56,0.16,0.81,14.56
49,102,151,0.001,0.001,0.001,3.61,0.001,0.001,0.001,0.23,0.02,0.01,0.56,0.41,3.61,0.23,0.56,3.61
49,103,152,0.001,0.001,0.001,0.03,0.001,0.001,0.001,0.2,0.01,0.01,0.01,0.01,0.03,0.2,0.01,0.2
50,75,125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.001,0.001,0.001,0.001,0.01,0.37,0.001,0.37
50,76,126,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.28,0.001,0.001,0.001,0.001,0.01,0.28,0.001,0.28
50,77,127,0.01,0.01,0.01,0.04,0.07,0.02,0.17,1.77,0.001,0.001,0.001,0.001,0.04,1.77,0.001,1.77
50,78,128,0.01,0.01,0.01,0.01,0.65,0.06,0.5,1.21,0.001,0.001,0.001,0.001,0.01,1.21,0.001,1.21
50,79,129,0.02,0.01,0.02,0.09,2.87,0.68,2.92,3.55,0.001,0.001,0.001,0.001,0.09,3.55,0.001,3.55
50,80,130,0.13,0.26,0.16,0.28,6.59,11.9,8.67,4.47,0.001,0.001,0.001,0.001,0.28,11.9,0.001,11.9
50,81,131,0.39,0.15,0.24,0.15,20.92,6.02,9.46,3.28,0.001,0.001,0.001,0.001,0.39,20.92,0.001,20.92
50,82,132,1.45,1.2,2.08,0.84,2.46,0.1,14.17,1.92,0.001,0.001,0.001,0.001,2.08,14.17,0.001,14.17
50,83,133,0.04,0.01,0.2,0.06,3.15,30.6,5.36,0.92,0.001,0.001,0.001,0.001,0.2,30.6,0.001,30.6
50,84,134,1.18,14.88,4.67,1.34,1.17,1.01,3.89,0.49,0.001,0.001,0.001,0.001,14.88,3.89,0.001,14.88
50,85,135,0.01,0.01,2.59,0.6,2.22,14.29,3.79,0.86,0.001,0.001,0.001,0.001,2.59,14.29,0.001,14.29
50,86,136,0.73,18.22,2.86,0.45,0.47,0.17,6.16,0.38,2.37,83.68,0.89,0.31,18.22,6.16,83.68,83.68
50,87,137,0.01,0.11,0.59,0.13,3.03,18.58,6.09,0.23,2.17,3.82,0.83,0.33,0.59,18.58,3.82,18.58
50,88,138,3.99,56.73,1.55,0.18,0.09,0.01,11.43,0.42,4.55,29.64,1.05,0.36,56.73,11.43,29.64,56.73
50,89,139,0.01,0.07,0.72,0.07,9.8,2.73,6.12,0.14,2.77,2.69,0.93,0.33,0.72,9.8,2.77,9.8
50,90,140,24.16,44.68,6.28,0.59,0.11,0.01,4.94,0.41,13.45,19.25,2.25,0.53,44.68,4.94,19.25,44.68
50,91,141,0.01,0.01,0.44,0.03,27.64,0.01,0.72,0.01,6.26,1.75,1.51,0.29,0.44,27.64,6.26,27.64
50,92,142,5.81,0.19,4.37,0.42,0.16,0.01,2.1,0.28,6.08,2,2.83,0.41,5.81,2.1,6.08,6.08
50,93,143,0.01,0.01,0.01,0.01,13.74,0.01,0.05,0.01,3.33,0.01,2.49,0.46,0.01,13.74,3.33,13.74
